"filename", "language", "JSON", "TypeScript", "HTML", "JSON with Comments", "JavaScript", "Markdown", "YAML", "SCSS", "Diff", "comment", "blank", "total"
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\.prettierrc", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\index.html", "HTML", 0, 0, 83, 0, 0, 0, 0, 0, 0, 2, 9, 94
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\package-lock.json", "JSON", 9856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9857
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\package.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\patches\eaz+1.0.2.patch", "Diff", 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 1, 120
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\index.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\animation\animation.ts", "TypeScript", 0, 175, 0, 0, 0, 0, 0, 0, 0, 64, 57, 296
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\editor\Editor.ts", "TypeScript", 0, 659, 0, 0, 0, 0, 0, 0, 0, 11, 57, 727
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\editor\Separators.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 21, 104
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\editor\files\default.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\editor\files\output.json", "JSON", 673, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 673
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\editor\files\output.yaml", "YAML", 0, 0, 0, 0, 0, 0, 252, 0, 0, 0, 1, 253
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\editor\files\thoughts.md", "Markdown", 0, 0, 0, 0, 0, 342, 0, 0, 0, 0, 121, 463
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\environment\EnvironmentState.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 5, 17, 71
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\environment\data.ts", "TypeScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 14, 112
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\environment\environment.ts", "TypeScript", 0, 368, 0, 0, 0, 0, 0, 0, 0, 87, 65, 520
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\execution.ts", "TypeScript", 0, 719, 0, 0, 0, 0, 0, 0, 0, 55, 124, 898
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\graph\ExecutionGraph.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 5, 11, 61
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Binary\BinaryExpressionEvaluate.ts", "TypeScript", 0, 142, 0, 0, 0, 0, 0, 0, 0, 9, 15, 166
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Binary\LogicalExpressionEvaluate.ts", "TypeScript", 0, 118, 0, 0, 0, 0, 0, 0, 0, 7, 16, 141
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Binding\BindAnimation.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 0, 0, 0, 7, 13, 84
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Binding\BindFunctionAnimation.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 3, 10, 66
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Container\ArrayStartAnimation.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 4, 12, 59
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Container\ObjectStartAnimation.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 4, 12, 59
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Data\ConsumeDataAnimation.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 11, 47
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Data\CopyDataAnimation.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 4, 12, 83
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Data\CopyReferenceAnimation.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 3, 10, 80
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Data\CreateLiteralAnimation.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 10, 10, 75
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Data\FindMember.ts", "TypeScript", 0, 119, 0, 0, 0, 0, 0, 0, 0, 9, 21, 149
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Data\FindVariableAnimation.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 6, 11, 62
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Data\FloatAnimation.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 2, 9, 39
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Data\GetMember.ts", "TypeScript", 0, 106, 0, 0, 0, 0, 0, 0, 0, 10, 21, 137
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Data\MoveAndPlaceAnimation.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 0, 0, 0, 6, 12, 82
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Data\UpdateAnimation.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 2, 10, 60
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\ExecutionNode.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 20, 92
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Functions\Native\Array\ArrayConcatAnimation.ts", "TypeScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 16, 16, 130
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Functions\Native\Array\ArrayPushAnimation.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 2, 11, 73
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Functions\Native\Math\FloorAnimation.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 2, 9, 62
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Functions\ReturnStatementAnimation.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 15, 11, 67
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Scope\CreateScopeAnimation.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 9, 34
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Scope\PopScopeAnimation.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 7, 29
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\execution\primitive\Unary\UnaryExpressionEvaluate.ts", "TypeScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 8, 14, 114
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\executor\Executor.ts", "TypeScript", 0, 93, 0, 0, 0, 0, 0, 0, 0, 16, 22, 131
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Action\Action.ts", "TypeScript", 0, 104, 0, 0, 0, 0, 0, 0, 0, 16, 33, 153
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Action\ActionRenderer.ts", "TypeScript", 0, 109, 0, 0, 0, 0, 0, 0, 0, 7, 25, 141
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Action\ActionState.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 7, 36
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Action\Dynamic\ForStatementRepresentation.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 6, 15, 67
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Action\Dynamic\IfStatementRepresentation.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Action\Dynamic\Representation.ts", "TypeScript", 0, 73, 0, 0, 0, 0, 0, 0, 0, 5, 17, 95
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\renderer\Action\Mapping\ActionMapping.ts", "TypeScript", 0, 109, 0, 0, 0, 0, 0, 0, 0, 14, 38, 161
